"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"p_0001";"v_1";"v_12";"v_13";"v_14";"v_15";"v_16";"v_17";"v_9";"v_20";"v_21";"v_10";"v_11";"browser";"referer";"device_type";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6658839";"rts6658840";"rts6658841";"rts6669991";"rts6670219";"rts6674846";"rnd_pg_6658842"
"15";"0";"0";"31";"6658837";"-77";"128";"3772";"1";"5";"5";"4";"3";"4";"6";"6";"2";"-99";"20";"1";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"1";"0";"0";"-77";"-77";"c3b0e9f0349e995c27d63410d7f2ad2f";"1";"0";"1686918760";"2023-06-16 12:32:40";"2023-06-16 12:34:48";"0000-00-00 00:00:00";"14";"0";"54";"105";"128";"115";"6658841"
"16";"0";"0";"31";"6658837";"-77";"133";"3748";"1";"6";"4";"6";"5";"6";"5";"1";"2";"-99";"24";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/114.0";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"0f821798ab31ff26cb839e1becb02017";"1";"0";"1686919712";"2023-06-16 12:48:32";"2023-06-16 12:50:45";"0000-00-00 00:00:00";"54";"90";"0";"119";"133";"124";"6658840"
"17";"0";"0";"31";"6658837";"-77";"138";"3595";"1";"7";"7";"7";"4";"7";"5";"5";"2";"-99";"26";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"1";"1";"0";"-77";"-77";"ef1536a0a4b56f06356e92b52d315b2a";"1";"0";"1686921964";"2023-06-16 13:26:04";"2023-06-16 13:28:22";"0000-00-00 00:00:00";"21";"57";"0";"113";"138";"125";"6658840"
"18";"0";"0";"31";"6658837";"-77";"82";"3313";"1";"5";"4";"6";"2";"5";"5";"4";"2";"-99";"18";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.3 Safari/605.1.15";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"1";"0";"0";"-77";"-77";"9eab2eed6f19b79420fbf8a3709779af";"1";"0";"1686927270";"2023-06-16 14:54:30";"2023-06-16 14:55:52";"0000-00-00 00:00:00";"17";"41";"0";"68";"82";"73";"6658840"
"20";"0";"0";"31";"6658837";"-77";"129";"3943";"1";"6";"6";"6";"5";"6";"6";"3";"2";"-99";"22";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.43";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"c415cac2795cf7c06eeefc6262cb3c03";"1";"0";"1686941945";"2023-06-16 18:59:05";"2023-06-16 19:01:14";"0000-00-00 00:00:00";"59";"82";"0";"111";"129";"118";"6658840"
"21";"0";"0";"31";"6658837";"-77";"119";"4414";"1";"5";"5";"5";"3";"5";"5";"3";"2";"-99";"28";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"396cc5817fd8b7568f6ddc3f48be0ac0";"1";"0";"1686947001";"2023-06-16 20:23:21";"2023-06-16 20:25:20";"0000-00-00 00:00:00";"16";"64";"0";"100";"119";"110";"6658840"
"22";"0";"0";"31";"6658837";"-77";"121";"3574";"1";"6";"6";"5";"4";"5";"6";"5";"3";"-99";"19";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658841,6669991,6674846,6670219,6669990,6658837";"1";"1";"0";"-77";"-77";"a5a1fbe89bbbb765ce050ff4e74562b0";"1";"0";"1686949392";"2023-06-16 21:03:12";"2023-06-16 21:05:14";"0000-00-00 00:00:00";"28";"0";"78";"104";"122";"113";"6658841"
"23";"0";"0";"31";"6658837";"-77";"102";"3319";"1";"6";"4";"5";"5";"7";"5";"3";"2";"-99";"18";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"0";"0";"-77";"-77";"42cc0dced32cef1cece405c9bf59735e";"1";"0";"1686982452";"2023-06-17 06:14:12";"2023-06-17 06:15:54";"0000-00-00 00:00:00";"32";"53";"0";"80";"102";"89";"6658840"
"24";"0";"0";"31";"6658837";"-77";"127";"4606";"1";"5";"5";"5";"4";"5";"5";"3";"2";"-99";"20";"1";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"0";"1";"0";"-77";"-77";"61fdd121a988873fe637f697c98c2489";"1";"0";"1686984922";"2023-06-17 06:55:22";"2023-06-17 06:57:29";"0000-00-00 00:00:00";"14";"43";"0";"105";"127";"115";"6658840"
"25";"0";"0";"31";"6658837";"-77";"84";"3679";"1";"3";"4";"4";"3";"3";"4";"4";"2";"-99";"20";"1";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:109.0) Gecko/20100101 Firefox/114.0";"https://fu-berlin.sona-systems.com/";"0";"0";"-66";"0";"6658839,6669989,6658842,6658840,6669991,6674846,6670219,6669990,6658837";"1";"0";"0";"-77";"-77";"6e1ab466b71d3703bae8f62bfb79ae2c";"1";"0";"1686993248";"2023-06-17 09:14:08";"2023-06-17 09:15:32";"0000-00-00 00:00:00";"9";"20";"0";"66";"84";"72";"6658840"
